Sikar,Rajasthan,"""Wheat|Bajra|Mustard|Barley|Pulses|Sunflower|Medicinal Plants|Flowers"""
Sirohi,Rajasthan,"""Wheat|Maize|Pulses|Mustard|Soybean|Sunflower|Sorghum|Medicinal Plants|Citrus Fruits"""
Sri Ganganagar,Rajasthan,"""Wheat|Cotton|Mustard|Bajra|Pulses|Sunflower|Groundnut|Medicinal Plants|Flowers"""
Tonk,Rajasthan,"""Wheat|Bajra|Mustard|Pulses|Soybean|Sunflower|Sorghum|Medicinal Plants|Citrus Fruits"""
Udaipur,Rajasthan,"""Wheat|Maize|Pulses|Mustard|Soybean|Sunflower|Sorghum|Medicinal Plants|Citrus Fruits"""
Amritsar,Punjab,"""Wheat|Rice|Maize|Pulses Gram Lentil|Vegetables Potato Onion Tomato Cauliflower Peas|Fruits Kinnow Guava Mango|Barley|Sorghum|Sunflower|Groundnut|Spinach|Fenugreek|Beans|Mustard|Lemon|Jamun|Medicinal Herbs|Marigold"""
Barnala,Punjab,"""Wheat|Rice|Maize|Pulses|Oilseeds|Vegetables|Barley|Sorghum|Sunflower|Groundnut|Peas|Spinach|Fenugreek|Mustard|Flowers|Amla|Jamun"""
Bathinda,Punjab,"""Wheat|Cotton|Rice|Maize|Pulses|Oilseeds Mustard Sunflower|Vegetables Potato Tomato|Groundnut|Sorghum|Moong|Spinach|Beans|Flowers|Medicinal Herbs|Citrus Fruits"""
Fazilka,Punjab,"""Wheat|Cotton|Rice|Maize|Mustard|Vegetables Onion Tomato Cauliflower|Fruits Kinnow Guava|Barley|Groundnut|Sunflower|Spinach|Beans|Flowers|Lemon|Jamun|Medicinal Plants"""
Ferozepur,Punjab,"""Wheat|Cotton|Rice|Maize|Pulses|Oilseeds|Vegetables|Barley|Groundnut|Sunflower|Spinach|Beans|Fenugreek|Flowers|Medicinal Plants"""
Fatehgarh Sahib,Punjab,"""Wheat|Rice|Maize|Sugarcane|Vegetables Potato Tomato Peas|Fruits Guava Mango Citrus|Barley|Sorghum|Sunflower|Spinach|Medicinal Plants|Flowers|Amla|Jamun"""
Gurdaspur,Punjab,"""Wheat|Rice|Maize|Sugarcane|Vegetables Potato Onion Cauliflower|Fruits Citrus Mango Guava|Barley|Sunflower|Spinach|Beans|Fenugreek|Medicinal Plants|Flowers|Lemon|Jamun"""
Hoshiarpur,Punjab,"""Wheat|Rice|Maize|Sugarcane|Pulses|Vegetables Potato Tomato Cauliflower Peas|Fruits Citrus Mango Guava Litchi|Barley|Sunflower|Spinach|Beans|Medicinal Plants|Flowers|Lemon|Jamun"""
Jalandhar,Punjab,"""Wheat|Rice|Maize|Sugarcane|Vegetables Potato Onion Tomato Cauliflower|Fruits Citrus Guava|Barley|Sorghum|Sunflower|Spinach|Medicinal Plants|Flowers"""
Kapurthala,Punjab,"""Wheat|Rice|Maize|Sugarcane|Vegetables Potato Peas Cauliflower|Fruits Citrus Mango Guava|Barley|Sunflower|Spinach|Beans|Medicinal Plants|Flowers|Jamun|Lemon"""
Ludhiana,Punjab,"""Wheat|Rice|Maize|Pulses|Vegetables Potato Onion Tomato Cauliflower|Fruits Kinnow Mango|Barley|Sunflower|Spinach|Fenugreek|Beans|Medicinal Plants|Flowers|Amla|Lemon"""
Mansa,Punjab,"""Wheat|Cotton|Rice|Maize|Pulses|Oilseeds Mustard Sunflower|Vegetables|Groundnut|Barley|Sorghum|Spinach|Beans|Medicinal Plants|Flowers"""
Moga,Punjab,"""Wheat|Rice|Maize|Sugarcane|Vegetables Potato Onion Tomato|Fruits Guava Mango|Barley|Sunflower|Spinach|Beans|Medicinal Plants|Flowers"""
Pathankot,Punjab,"""Wheat|Rice|Maize|Vegetables Potato Tomato Peas|Fruits Citrus Mango Guava Litchi|Barley|Sunflower|Spinach|Beans|Medicinal Plants|Flowers|Lemon|Jamun"""
Patiala,Punjab,"""Wheat|Rice|Maize|Sugarcane|Vegetables Potato Onion Tomato Peas|Fruits Citrus Mango Guava|Barley|Sunflower|Spinach|Beans|Medicinal Plants|Flowers"""
Rupnagar Ropar,Punjab,"""Wheat|Rice|Maize|Pulses|Vegetables Potato Tomato Peas|Fruits Guava Mango Citrus|Barley|Sorghum|Sunflower|Spinach|Medicinal Plants|Flowers"""
Sangrur,Punjab,"""Wheat|Rice|Maize|Pulses|Oilseeds Mustard Sunflower|Vegetables|Barley|Sorghum|Spinach|Beans|Medicinal Plants|Flowers"""
Shaheed Bhagat Singh Nagar,Punjab,"""Wheat|Rice|Maize|Sugarcane|Vegetables Potato Tomato Peas|Fruits Citrus Mango|Barley|Sunflower|Spinach|Beans|Medicinal Plants|Flowers"""
Sri Muktsar Sahib,Punjab,"""Wheat|Cotton|Rice|Maize|Mustard|Vegetables|Groundnut|Barley|Sorghum|Spinach|Medicinal Plants|Flowers"""
Tarn Taran,Punjab,"""Wheat|Rice|Maize|Pulses|Vegetables Potato Tomato Onion|Fruits Guava Citrus|Barley|Sunflower|Spinach|Beans|Medicinal Plants|Flowers"""
Chandigarh,Punjab,"""Wheat|Rice|Maize|Vegetables Potato Tomato Peas|Fruits Citrus Guava|Sunflower|Spinach|Medicinal Plants|Flowers|Jamun|Lemon"""
North Goa,Goa,"""Rice|Coconut|Cashew|Arecanut|Vegetables|Pulses|Banana|Pineapple|Citrus|Medicinal Plants|Flowers"""
South Goa,Goa,"""Rice|Coconut|Cashew|Arecanut|Vegetables|Pulses|Banana|Pineapple|Citrus|Medicinal Plants|Flowers"""
Balod,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Balrampur,Chhattisgarh,"""Rice|Maize|Pulses|Vegetables|Oilseeds|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Bastar,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Bemetara,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Bijapur,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Bilaspur,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Dantewada,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Dhamtari,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Durg,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Janjgir-Champa,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Kanker,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Korba,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Koriyā,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Raigarh,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Raipur,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Rajnandgaon,Chhattisgarh,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sunflower|Medicinal Plants|Citrus|Guava"""
Barpeta,Assam,"""Rice|Jute|Pulses|Vegetables|Mustard|Banana|Pineapple|Citrus|Medicinal Plants|Flowers"""
Bongaigaon,Assam,"""Rice|Jute|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Cachar,Assam,"""Rice|Tea|Vegetables|Pulses|Mustard|Banana|Citrus|Pineapple|Guava|Medicinal Plants"""
Darrang,Assam,"""Rice|Jute|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Dhemaji,Assam,"""Rice|Jute|Vegetables|Pulses|Mustard|Banana|Pineapple|Citrus|Medicinal Plants|Flowers"""
Dhubri,Assam,"""Rice|Jute|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Dibrugarh,Assam,"""Rice|Tea|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Guava|Medicinal Plants"""
Goalpara,Assam,"""Rice|Jute|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Golaghat,Assam,"""Rice|Tea|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Hailakandi,Assam,"""Rice|Tea|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Jorhat,Assam,"""Rice|Tea|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Kamrup,Assam,"""Rice|Jute|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Karbi Anglong,Assam,"""Rice|Maize|Vegetables|Pulses|Mustard|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Lakhimpur,Assam,"""Rice|Jute|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Nagaon,Assam,"""Rice|Jute|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Nalbari,Assam,"""Rice|Jute|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Sivasagar,Assam,"""Rice|Tea|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Sonitpur,Assam,"""Rice|Jute|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Tinsukia,Assam,"""Rice|Tea|Vegetables|Mustard|Pulses|Banana|Citrus|Pineapple|Medicinal Plants|Flowers"""
Anjaw,Arunachal Pradesh,"""Rice|Maize|Millets|Vegetables|Pulses|Orange|Pineapple|Banana|Medicinal Herbs|Flowers"""
Changlang,Arunachal Pradesh,"""Rice|Maize|Millets|Mustard|Vegetables|Orange|Banana|Guava|Medicinal Plants|Flowers"""
Dibang Valley,Arunachal Pradesh,"""Rice|Maize|Millets|Pulses|Vegetables|Orange|Banana|Citrus|Medicinal Plants|Flowers"""
East Kameng,Arunachal Pradesh,"""Rice|Maize|Millets|Pulses|Vegetables|Orange|Banana|Pineapple|Citrus|Medicinal Plants"""
East Siang,Arunachal Pradesh,"""Rice|Maize|Millets|Vegetables|Orange|Banana|Pineapple|Guava|Medicinal Plants|Flowers"""
Kurung Kumey,Arunachal Pradesh,"""Rice|Maize|Millets|Vegetables|Pulses|Orange|Banana|Guava|Citrus|Medicinal Plants"""
Lohit,Arunachal Pradesh,"""Rice|Maize|Millets|Mustard|Vegetables|Orange|Banana|Guava|Medicinal Plants|Flowers"""
Lower Dibang Valley,Arunachal Pradesh,"""Rice|Maize|Millets|Vegetables|Pulses|Orange|Pineapple|Banana|Medicinal Plants|Flowers"""
Lower Subansiri,Arunachal Pradesh,"""Rice|Maize|Millets|Vegetables|Pulses|Orange|Banana|Pineapple|Medicinal Plants|Flowers"""
Papum Pare,Arunachal Pradesh,"""Rice|Maize|Millets|Vegetables|Orange|Banana|Pineapple|Guava|Medicinal Plants|Flowers"""
Tawang,Arunachal Pradesh,"""Barley|Millets|Pulses|Potatoes|Vegetables|Medicinal Herbs|Flowers|Citrus"""
Tirap,Arunachal Pradesh,"""Rice|Maize|Millets|Vegetables|Mustard|Banana|Pineapple|Medicinal Plants|Flowers"""
Upper Siang,Arunachal Pradesh,"""Rice|Maize|Millets|Vegetables|Pulses|Orange|Banana|Pineapple|Medicinal Plants|Flowers"""
Upper Subansiri,Arunachal Pradesh,"""Rice|Maize|Millets|Vegetables|Pulses|Orange|Banana|Medicinal Plants|Flowers"""
Anantapur,Andhra Pradesh,"""Groundnut|Sunflower|Jowar|Bajra|Cotton|Pulses|Sesame|Ragi|Castor|Medicinal Herbs|Guava|Amla|Citrus"""
Chittoor,Andhra Pradesh,"""Paddy|Sugarcane|Groundnut|Mango|Vegetables|Banana|Papaya|Citrus|Guava|Flowers|Medicinal Plants"""
East Godavari,Andhra Pradesh,"""Paddy|Sugarcane|Coconut|Banana|Vegetables|Papaya|Citrus|Pineapple|Betel Leaf|Medicinal Herbs"""
Guntur,Andhra Pradesh,"""Chillies|Cotton|Paddy|Tobacco|Pulses|Sesame|Sunflower|Flowers|Medicinal Plants|Guava|Citrus"""
Krishna,Andhra Pradesh,"""Paddy|Sugarcane|Banana|Vegetables|Mango|Citrus|Guava|Pineapple|Medicinal Herbs|Flowers"""
Kurnool,Andhra Pradesh,"""Paddy|Groundnut|Sunflower|Cotton|Pulses|Sesame|Ragi|Bajra|Citrus|Guava|Medicinal Plants"""
Nellore,Andhra Pradesh,"""Paddy|Groundnut|Sugarcane|Vegetables|Citrus|Banana|Guava|Betel Leaf|Medicinal Herbs"""
Prakasam,Andhra Pradesh,"""Tobacco|Groundnut|Sunflower|Pulses|Cotton|Sesame|Citrus|Medicinal Plants|Guava|Flowers"""
Srikakulam,Andhra Pradesh,"""Paddy|Groundnut|Sugarcane|Coconut|Pulses|Banana|Papaya|Citrus|Pineapple|Medicinal Plants"""
Vizianagaram,Andhra Pradesh,"""Paddy|Sugarcane|Groundnut|Pulses|Coconut|Citrus|Banana|Guava|Medicinal Plants|Flowers"""
Visakhapatnam,Andhra Pradesh,"""Paddy|Coconut|Groundnut|Sugarcane|Pulses|Banana|Papaya|Citrus|Medicinal Plants|Flowers"""
West Godavari,Andhra Pradesh,"""Paddy|Sugarcane|Banana|Vegetables|Coconut|Citrus|Pineapple|Betel Leaf|Medicinal Herbs|Flowers"""
Bilaspur,Himachal Pradesh,"""Maize|Wheat|Barley|Pulses|Oilseeds|Apples|Plum|Peach|Pear|Tomato|Capsicum|Medicinal Herbs|Flowers"""
Chamba,Himachal Pradesh,"""Maize|Wheat|Barley|Pulses|Rajmash|Apple|Peach|Pear|Plum|Almond|Medicinal Herbs|Saffron|Flowers"""
Hamirpur,Himachal Pradesh,"""Maize|Wheat|Barley|Pulses|Mustard|Tomato|Beans|Medicinal Herbs|Flowers|Guava|Citrus"""
Kangra,Himachal Pradesh,"""Wheat|Maize|Rice|Barley|Tea|Apple|Plum|Citrus|Peach|Medicinal Herbs|Flowers"""
Kinnaur,Himachal Pradesh,"""Barley|Peas|Buckwheat|Potato|Rajmash|Apple|Apricot|Almond|Saffron|Medicinal Herbs|Flowers"""
Kullu,Himachal Pradesh,"""Maize|Wheat|Barley|Rajmash|Vegetables|Apple|Pear|Peach|Plum|Almond|Medicinal Herbs|Flowers"""
Lahaul and Spiti,Himachal Pradesh,"""Peas|Barley|Potato|Buckwheat|Apple|Apricot|Almond|Saffron|Medicinal Herbs|Flowers"""
Mandi,Himachal Pradesh,"""Wheat|Maize|Barley|Pulses|Vegetables|Apple|Pear|Plum|Medicinal Herbs|Flowers"""
Shimla,Himachal Pradesh,"""Wheat|Barley|Peas|Potato|Rajmash|Apple|Plum|Pear|Almond|Saffron|Medicinal Herbs|Flowers"""
Sirmaur,Himachal Pradesh,"""Maize|Wheat|Barley|Mustard|Sugarcane|Peach|Plum|Pear|Citrus|Medicinal Herbs|Flowers"""
Solan,Himachal Pradesh,"""Maize|Wheat|Barley|Vegetables|Pulses|Apple|Pear|Plum|Peas|Medicinal Herbs|Flowers"""
Una,Himachal Pradesh,"""Maize|Wheat|Barley|Mustard|Pulses|Vegetables|Medicinal Herbs|Guava|Citrus|Flowers"""
Jamshedpur,Jharkhand,"""Rice|Maize|Wheat|Pulses|Oilseeds|Groundnut|Mustard|Potato|Onion|Tomato|Brinjal|Cabbage|Cauliflower|Spinach|Coriander|Chillies|Carrot|Radish|Beans|Pumpkin|Bottle Gourd|Bitter Gourd|Cucumber|Banana|Guava|Mango|Jackfruit|Papaya|Lemon"""
Bokaro,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Wheat|Groundnut|Sesame|Sunflower|Medicinal Herbs|Guava|Citrus"""
Chatra,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Groundnut|Sesame|Medicinal Herbs|Citrus|Flowers"""
Dhanbad,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Dumka,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
East Singhbhum,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Garhwa,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Giridih,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Godda,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Gumla,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Hazaribagh,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Jamtara,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Khunti,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Koderma,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Latehar,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Lohardaga,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Pakur,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Palamu,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Ramgarh,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Ranchi,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Sahibganj,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Saraikela Kharsawan,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Simdega,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
West Singhbhum,Jharkhand,"""Rice|Maize|Pulses|Oilseeds|Vegetables|Banana|Guava|Mango|Medicinal Herbs|Flowers"""
Bagalkot,Karnataka,"""Sugarcane|Paddy|Maize|Groundnut|Sunflower|Cotton|Turmeric|Pulses|Fruits|Vegetables|Medicinal Herbs|Flowers"""
Ballari,Karnataka,"""Cotton|Groundnut|Paddy|Sunflower|Maize|Pulses|Vegetables|Medicinal Herbs|Fruits|Flowers"""
Belagavi,Karnataka,"""Sugarcane|Paddy|Maize|Groundnut|Sunflower|Cotton|Turmeric|Pulses|Fruits|Vegetables|Medicinal Herbs|Flowers"""
Bengaluru Rural,Karnataka,"""Ragi|Paddy|Maize|Sunflower|Vegetables|Fruits|Flowers|Medicinal Herbs"""
Bengaluru Urban,Karnataka,"""Ragi|Vegetables|Fruits|Flowers|Medicinal Herbs|Paddy|Sunflower"""
Bidar,Karnataka,"""Sugarcane|Paddy|Turmeric|Maize|Pulses|Groundnut|Sunflower|Fruits|Vegetables|Medicinal Herbs"""
Chamarajanagar,Karnataka,"""Ragi|Paddy|Maize|Sunflower|Groundnut|Pulses|Fruits|Vegetables|Medicinal Herbs|Flowers"""
Chikkaballapur,Karnataka,"""Ragi|Maize|Vegetables|Fruits|Flowers|Medicinal Herbs|Groundnut|Sunflower"""
Chikkamagaluru,Karnataka,"""Coffee|Pepper|Cardamom|Paddy|Maize|Vegetables|Fruits|Medicinal Herbs|Flowers"""
Chitradurga,Karnataka,"""Ragi|Maize|Groundnut|Sunflower|Pulses|Vegetables|Medicinal Herbs|Fruits"""
Dakshina Kannada,Karnataka,"""Arecanut|Coconut|Paddy|Pepper|Banana|Fruits|Spices|Medicinal Herbs"""
Davanagere,Karnataka,"""Paddy|Sugarcane|Cotton|Maize|Sunflower|Groundnut|Pulses|Fruits|Medicinal Herbs"""
Dharwad,Karnataka,"""Sugarcane|Paddy|Maize|Groundnut|Cotton|Pulses|Vegetables|Fruits|Medicinal Herbs"""
Gadag,Karnataka,"""Sunflower|Paddy|Cotton|Groundnut|Maize|Pulses|Vegetables|Medicinal Herbs"""
Hassan,Karnataka,"""Paddy|Ragi|Coffee|Pepper|Vegetables|Fruits|Medicinal Herbs|Flowers"""
Haveri,Karnataka,"""Cotton|Sunflower|Groundnut|Maize|Paddy|Pulses|Vegetables|Medicinal Herbs"""
Kalaburagi,Karnataka,"""Turmeric|Cotton|Paddy|Groundnut|Maize|Pulses|Fruits|Vegetables|Medicinal Herbs"""
Kodagu,Karnataka,"""Coffee|Pepper|Cardamom|Orange|Banana|Fruits|Medicinal Herbs|Flowers"""
Kolar,Karnataka,"""Ragi|Vegetables|Fruits|Flowers|Medicinal Herbs|Banana|Citrus"""
Koppal,Karnataka,"""Paddy|Sunflower|Groundnut|Maize|Cotton|Pulses|Vegetables|Medicinal Herbs"""
Mandya,Karnataka,"""Sugarcane|Paddy|Ragi|Maize|Vegetables|Fruits|Flowers|Medicinal Herbs"""
Mysuru,Karnataka,"""Sugarcane|Paddy|Ragi|Maize|Vegetables|Fruits|Flowers|Medicinal Herbs"""
Raichur,Karnataka,"""Paddy|Cotton|Maize|Groundnut|Pulses|Fruits|Vegetables|Medicinal Herbs"""
Ramanagara,Karnataka,"""Ragi|Vegetables|Fruits|Flowers|Medicinal Herbs|Groundnut|Sunflower"""
Shivamogga,Karnataka,"""Arecanut|Paddy|Pepper|Banana|Fruits|Spices|Medicinal Herbs|Vegetables"""
Tumakuru,Karnataka,"""Ragi|Paddy|Sunflower|Groundnut|Vegetables|Fruits|Flowers|Medicinal Herbs"""
Udupi,Karnataka,"""Arecanut|Coconut|Paddy|Pepper|Banana|Fruits|Medicinal Herbs|Spices"""
Uttara Kannada,Karnataka,"""Arecanut|Coconut|Pepper|Banana|Spices|Fruits|Medicinal Herbs"""
Vijayapura,Karnataka,"""Grapes|Pomegranate|Paddy|Groundnut|Sunflower|Cotton|Vegetables|Medicinal Herbs"""
Yadgir,Karnataka,"""Paddy|Maize|Groundnut|Sunflower|Pulses|Vegetables|Fruits|Medicinal Herbs"""
Alappuzha,Kerala,"""Rice|Coconut|Banana|Vegetables|Spices|Medicinal Herbs|Flowers|Pineapple|Pepper"""
Ernakulam,Kerala,"""Rice|Coconut|Banana|Vegetables|Spices|Medicinal Herbs|Pineapple|Pepper|Flowers"""
Idukki,Kerala,"""Tea|Cardamom|Pepper|Coffee|Banana|Vegetables|Medicinal Herbs|Fruits|Flowers"""
Kannur,Kerala,"""Coconut|Arecanut|Pepper|Banana|Cashew|Medicinal Herbs|Fruits|Spices"""
Kasaragod,Kerala,"""Coconut|Arecanut|Pepper|Banana|Medicinal Herbs|Fruits|Spices"""
Kollam,Kerala,"""Rice|Coconut|Banana|Vegetables|Spices|Medicinal Herbs|Flowers|Pepper"""
Kottayam,Kerala,"""Rubber|Coconut|Banana|Pineapple|Pepper|Medicinal Herbs|Fruits|Spices"""
Kozhikode,Kerala,"""Coconut|Pepper|Banana|Vegetables|Fruits|Spices|Medicinal Herbs"""
Malappuram,Kerala,"""Coconut|Pepper|Banana|Cashew|Fruits|Medicinal Herbs|Spices"""
Palakkad,Kerala,"""Rice|Banana|Coconut|Vegetables|Spices|Medicinal Herbs|Fruits"""
Pathanamthitta,Kerala,"""Rubber|Banana|Pepper|Vegetables|Fruits|Medicinal Herbs"""
Thiruvananthapuram,Kerala,"""Coconut|Banana|Pineapple|Vegetables|Spices|Medicinal Herbs|Flowers"""
Thrissur,Kerala,"""Rice|Banana|Coconut|Vegetables|Spices|Medicinal Herbs|Fruits|Flowers"""
Wayanad,Kerala,"""Tea|Coffee|Pepper|Cardamom|Vegetables|Fruits|Medicinal Herbs|Spices"""
Bhopal,Madhya Pradesh,"""Wheat|Soybean|Paddy|Maize|Pulses|Oilseeds|Groundnut|Vegetables|Fruits|Medicinal Herbs"""
Indore,Madhya Pradesh,"""Soybean|Wheat|Paddy|Maize|Pulses|Oilseeds|Groundnut|Vegetables|Fruits|Medicinal Herbs"""
Jabalpur,Madhya Pradesh,"""Wheat|Paddy|Maize|Pulses|Oilseeds|Vegetables|Fruits|Medicinal Herbs"""
Gwalior,Madhya Pradesh,"""Wheat|Paddy|Maize|Pulses|Oilseeds|Vegetables|Fruits|Medicinal Herbs"""
Ujjain,Madhya Pradesh,"""Soybean|Wheat|Paddy|Maize|Pulses|Oilseeds|Groundnut|Vegetables|Fruits|Medicinal Herbs"""
Sagar,Madhya Pradesh,"""Wheat|Soybean|Paddy|Pulses|Maize|Vegetables|Fruits|Medicinal Herbs|Flowers"""
Rewa,Madhya Pradesh,"""Wheat|Paddy|Maize|Pulses|Oilseeds|Vegetables|Fruits|Medicinal Herbs"""
Satna,Madhya Pradesh,"""Wheat|Paddy|Maize|Pulses|Oilseeds|Vegetables|Fruits|Medicinal Herbs"""
Ratlam,Madhya Pradesh,"""Soybean|Wheat|Paddy|Maize|Pulses|Oilseeds|Groundnut|Vegetables|Fruits|Medicinal Herbs"""
Dewas,Madhya Pradesh,"""Soybean|Wheat|Paddy|Maize|Pulses|Oilseeds|Groundnut|Vegetables|Fruits|Medicinal Herbs"""
Imphal East,Manipur,"""Rice|Maize|Pulses|Vegetables|Fruits|Pineapple|Citrus|Medicinal Herbs|Flowers"""
Imphal West,Manipur,"""Rice|Maize|Pulses|Vegetables|Fruits|Pineapple|Citrus|Medicinal Herbs|Flowers"""
Churachandpur,Manipur,"""Rice|Maize|Pulses|Vegetables|Fruits|Pineapple|Citrus|Medicinal Herbs|Flowers"""
Senapati,Manipur,"""Rice|Maize|Pulses|Vegetables|Fruits|Pineapple|Citrus|Medicinal Herbs|Flowers"""
Thoubal,Manipur,"""Rice|Maize|Pulses|Vegetables|Fruits|Pineapple|Citrus|Medicinal Herbs|Flowers"""
Ukhrul,Manipur,"""Rice|Maize|Pulses|Vegetables|Fruits|Pineapple|Citrus|Medicinal Herbs|Flowers"""
Bishnupur,Manipur,"""Rice|Maize|Pulses|Vegetables|Fruits|Pineapple|Citrus|Medicinal Herbs|Flowers"""
East Khasi Hills,Meghalaya,"""Rice|Maize|Pulses|Vegetables|Fruits|Pineapple|Citrus|Medicinal Herbs|Flowers"""
